id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
194,Massachusetts 5th,MA-05,Democratic,Katherine,Clark,2013,1963,Woman,White - Non-Hispanic,Christian - Protestant,No,69.3,25.7,65.2,33.1,66.2,32.1,98.6,0,58,41,57,36,98.3,0,75.6,24.4,82,3.7,5.8,7,0.1,1.4,57.4,9,59.6,27,92268,25,33,373498,258908,95922,362013,235984,119934,348496,230731,111908,289807,285606,0,4201,185260,182100,0,3160,257490,82944,663390,520345,,,"(194,'Massachusetts 5th','MA-05','Democratic','Katherine','Clark',2013,1963,'Woman','White - Non-Hispanic','Christian - Protestant','No',69.3,25.7,65.2,33.1,66.2,32.1,98.6,0,58,41,57,36,98.3,0,75.6,24.4,82,3.7,5.8,7,0.1,1.4,57.4,9,59.6,27,92268,25,33,373498,258908,95922,362013,235984,119934,348496,230731,111908,289807,285606,0,4201,185260,182100,0,3160,257490,82944,663390,520345),"
195,Massachusetts 6th,MA-06,Democratic,Seth,Moulton,2014,1978,Man,White - Non-Hispanic,Christian - Protestant,No,56.1,38.2,54.7,43.9,56.9,41.4,98.4,0,66,33,64,29,55,41.1,50.6,49.4,89,2.3,5,2.8,0.1,0.9,44,51,46.2,85,84913,40,47.8,401046,224858,153244,387259,212003,169966,373809,212823,154833,314055,308923,0,5132,272219,149638,111989,10592,180942,176612,712620,556965,,,"(195,'Massachusetts 6th','MA-06','Democratic','Seth','Moulton',2014,1978,'Man','White - Non-Hispanic','Christian - Protestant','No',56.1,38.2,54.7,43.9,56.9,41.4,98.4,0,66,33,64,29,55,41.1,50.6,49.4,89,2.3,5,2.8,0.1,0.9,44,51,46.2,85,84913,40,47.8,401046,224858,153244,387259,212003,169966,373809,212823,154833,314055,308923,0,5132,272219,149638,111989,10592,180942,176612,712620,556965),"
196,Massachusetts 7th,MA-07,Democratic,Mike,Capuano,1998,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,84.1,11.9,82.5,15.6,81.9,16.7,98.6,0,79,19,73,15,98.3,0,100,0,53.1,23,14,7.7,0.2,2,42.9,58,64.5,15,60873,173,18.7,301939,254037,36018,283031,233382,44275,261402,214011,43558,256911,253354,0,3557,144546,142133,0,2413,210794,0,636625,512685,,,"(196,'Massachusetts 7th','MA-07','Democratic','Mike','Capuano',1998,1952,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',84.1,11.9,82.5,15.6,81.9,16.7,98.6,0,79,19,73,15,98.3,0,100,0,53.1,23,14,7.7,0.2,2,42.9,58,64.5,15,60873,173,18.7,301939,254037,36018,283031,233382,44275,261402,214011,43558,256911,253354,0,3557,144546,142133,0,2413,210794,0,636625,512685),"
197,Massachusetts 8th,MA-08,Democratic,Stephen,Lynch,2001,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,60.4,34.4,57.8,40.8,57.9,40.5,72.4,27.5,63,36,60,33,98.7,0,76.2,23.8,81.4,7.6,4.2,5.5,0.1,1.2,46.8,36,50.3,59,82333,44,40.2,382917,231356,131624,369239,213364,150825,355472,205644,144128,374265,271019,102744,502,203351,200644,0,2707,263999,82242,705680,557940,,,"(197,'Massachusetts 8th','MA-08','Democratic','Stephen','Lynch',2001,1955,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',60.4,34.4,57.8,40.8,57.9,40.5,72.4,27.5,63,36,60,33,98.7,0,76.2,23.8,81.4,7.6,4.2,5.5,0.1,1.2,46.8,36,50.3,59,82333,44,40.2,382917,231356,131624,369239,213364,150825,355472,205644,144128,374265,271019,102744,502,203351,200644,0,2707,263999,82242,705680,557940),"
198,Massachusetts 9th,MA-09,Democratic,Bill,Keating,2010,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,52.5,41.8,55.5,43.1,57.8,40.6,55.7,33.6,56,43,54,39,54.9,45,64.6,35.4,91.9,2.3,3.3,1,0.2,1.3,35.9,122,37.5,164,68173,111,56.7,391289,205581,163643,382989,212701,165212,379234,219141,154059,379895,211790,127803,40302,255541,140413,114971,157,212754,116531,707605,565905,,,"(198,'Massachusetts 9th','MA-09','Democratic','Bill','Keating',2010,1952,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',52.5,41.8,55.5,43.1,57.8,40.6,55.7,33.6,56,43,54,39,54.9,45,64.6,35.4,91.9,2.3,3.3,1,0.2,1.3,35.9,122,37.5,164,68173,111,56.7,391289,205581,163643,382989,212701,165212,379234,219141,154059,379895,211790,127803,40302,255541,140413,114971,157,212754,116531,707605,565905),"
199,Michigan 1st,MI-01,Republican,Jack,Bergman,2016,1947,Man,White - Non-Hispanic,Christian - Lutheran,No,36.6,57.9,45.3,53.6,49.7,48.4,40.1,54.9,46,53,45,52,45.3,52.1,49.7,50.3,92.9,1.8,1.2,0.4,2.1,1.6,24.6,299,25.2,347,46927,351,69.5,364131,133237,210822,353694,160199,189406,368276,183104,178360,360271,144334,197777,18160,250131,113263,130414,6454,165179,167060,695750,562555,,,"(199,'Michigan 1st','MI-01','Republican','Jack','Bergman',2016,1947,'Man','White - Non-Hispanic','Christian - Lutheran','No',36.6,57.9,45.3,53.6,49.7,48.4,40.1,54.9,46,53,45,52,45.3,52.1,49.7,50.3,92.9,1.8,1.2,0.4,2.1,1.6,24.6,299,25.2,347,46927,351,69.5,364131,133237,210822,353694,160199,189406,368276,183104,178360,360271,144334,197777,18160,250131,113263,130414,6454,165179,167060,695750,562555),"
200,Michigan 2nd,MI-02,Republican,Bill,Huizenga,2010,1969,Man,White - Non-Hispanic,Christian - Reformed (Calvinist),No,38.2,55.8,43.1,56,48,50.3,32.5,62.6,39,60,38,59,33.3,63.6,35.9,64.1,85.5,5.8,5.3,1.5,0.4,1.6,23.8,315,25.7,342,52919,254,63.4,346505,132462,193198,329985,142080,184755,350282,168237,176331,339328,110391,212508,16429,213072,70851,135568,6653,108973,194653,701475,529020,,,"(200,'Michigan 2nd','MI-02','Republican','Bill','Huizenga',2010,1969,'Man','White - Non-Hispanic','Christian - Reformed (Calvinist)','No',38.2,55.8,43.1,56,48,50.3,32.5,62.6,39,60,38,59,33.3,63.6,35.9,64.1,85.5,5.8,5.3,1.5,0.4,1.6,23.8,315,25.7,342,52919,254,63.4,346505,132462,193198,329985,142080,184755,350282,168237,176331,339328,110391,212508,16429,213072,70851,135568,6653,108973,194653,701475,529020),"
201,Michigan 3rd,MI-03,Republican,Justin,Amash,2010,1980,Man,White - Non-Hispanic,Christian - Orthodox,No,42.2,51.6,45.8,53.1,49.7,48.6,37.5,59.5,40,59,38,60,39,57.9,45.6,54.4,85.5,7.9,3.7,1,0.4,1.5,31.4,173,33.6,212,57926,197,56.7,349490,147330,180344,334438,153069,177742,351117,174381,170654,342365,128400,203545,10420,217165,84720,125754,6691,144108,171675,702545,526275,,,"(201,'Michigan 3rd','MI-03','Republican','Justin','Amash',2010,1980,'Man','White - Non-Hispanic','Christian - Orthodox','No',42.2,51.6,45.8,53.1,49.7,48.6,37.5,59.5,40,59,38,60,39,57.9,45.6,54.4,85.5,7.9,3.7,1,0.4,1.5,31.4,173,33.6,212,57926,197,56.7,349490,147330,180344,334438,153069,177742,351117,174381,170654,342365,128400,203545,10420,217165,84720,125754,6691,144108,171675,702545,526275),"
202,Michigan 4th,MI-04,Republican,John,Moolenaar,2014,1961,Man,White - Non-Hispanic,Christian - Protestant,No,34.7,59.5,45.5,53.5,49.6,48.6,32.1,61.6,44,55,44,54,39.1,56.5,34.7,65.3,93.5,1.9,2.3,0.5,0.6,1.2,21.9,352,21.7,402,48434,333,73.2,328240,113817,195302,321415,146088,171864,343947,170685,167074,315751,101277,194572,19902,219423,85777,123962,9684,104996,197386,694060,547355,,,"(202,'Michigan 4th','MI-04','Republican','John','Moolenaar',2014,1961,'Man','White - Non-Hispanic','Christian - Protestant','No',34.7,59.5,45.5,53.5,49.6,48.6,32.1,61.6,44,55,44,54,39.1,56.5,34.7,65.3,93.5,1.9,2.3,0.5,0.6,1.2,21.9,352,21.7,402,48434,333,73.2,328240,113817,195302,321415,146088,171864,343947,170685,167074,315751,101277,194572,19902,219423,85777,123962,9684,104996,197386,694060,547355),"
203,Michigan 5th,MI-05,Democratic,Dan,Kildee,2012,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,49.7,45.5,60.7,38.3,63,35.3,61.2,35.1,59,41,61,37,66.7,31.2,67.4,32.6,77.4,16.3,3.8,0.6,0.3,1.6,19,401,20.4,416,42800,392,61.6,327572,162961,148972,338966,205800,129903,366156,230768,129429,319291,195279,112102,11910,222138,148182,69222,4734,214531,103931,680590,525345,,,"(203,'Michigan 5th','MI-05','Democratic','Dan','Kildee',2012,1958,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',49.7,45.5,60.7,38.3,63,35.3,61.2,35.1,59,41,61,37,66.7,31.2,67.4,32.6,77.4,16.3,3.8,0.6,0.3,1.6,19,401,20.4,416,42800,392,61.6,327572,162961,148972,338966,205800,129903,366156,230768,129429,319291,195279,112102,11910,222138,148182,69222,4734,214531,103931,680590,525345),"
204,Michigan 6th,MI-06,Republican,Fred,Upton,1986,1953,Man,White - Non-Hispanic,Christian - Protestant,No,42.9,51.3,48.8,50.2,53.1,45.2,36.4,58.6,46,53,45,52,40.4,55.9,43.8,56.2,86,7.5,3.4,1,0.3,1.8,28,235,29.2,281,51477,279,60.8,331986,142305,170314,325500,158950,163309,346680,184125,156672,329552,119980,193246,16326,208976,84391,116801,7784,136563,174955,694955,532495,,,"(204,'Michigan 6th','MI-06','Republican','Fred','Upton',1986,1953,'Man','White - Non-Hispanic','Christian - Protestant','No',42.9,51.3,48.8,50.2,53.1,45.2,36.4,58.6,46,53,45,52,40.4,55.9,43.8,56.2,86,7.5,3.4,1,0.3,1.8,28,235,29.2,281,51477,279,60.8,331986,142305,170314,325500,158950,163309,346680,184125,156672,329552,119980,193246,16326,208976,84391,116801,7784,136563,174955,694955,532495),"
205,Michigan 7th,MI-07,Republican,Tim,Walberg,2010,1951,Man,White - Non-Hispanic,Christian - United Brethren,No,38.7,55.7,47.9,51,50.8,47.4,40,55.1,45,54,46,51,41.2,53.5,44.6,55.4,90.7,4.1,3.1,0.6,0.4,1.1,24.6,299,24.8,355,56427,214,68.1,340358,131566,189655,331820,159012,169268,349608,177650,165756,334807,134010,184321,16476,223685,92083,119564,12038,136849,169668,695940,538605,,,"(205,'Michigan 7th','MI-07','Republican','Tim','Walberg',2010,1951,'Man','White - Non-Hispanic','Christian - United Brethren','No',38.7,55.7,47.9,51,50.8,47.4,40,55.1,45,54,46,51,41.2,53.5,44.6,55.4,90.7,4.1,3.1,0.6,0.4,1.1,24.6,299,24.8,355,56427,214,68.1,340358,131566,189655,331820,159012,169268,349608,177650,165756,334807,134010,184321,16476,223685,92083,119564,12038,136849,169668,695940,538605),"
206,Michigan 8th,MI-08,Republican,Mike,Bishop,2014,1967,Man,White - Non-Hispanic,Christian - Congregationalist,No,43.9,50.6,48,51.1,52,46.4,39.2,56,45,54,47,51,42.1,54.6,38.9,61.1,87.2,5.2,3.6,2.1,0.2,1.6,40.6,77,40,135,66495,125,52.3,374968,164436,189891,358795,172131,183512,376482,195947,174675,366968,143791,205629,17548,243125,102269,132739,8117,128657,202217,694265,536105,,,"(206,'Michigan 8th','MI-08','Republican','Mike','Bishop',2014,1967,'Man','White - Non-Hispanic','Christian - Congregationalist','No',43.9,50.6,48,51.1,52,46.4,39.2,56,45,54,47,51,42.1,54.6,38.9,61.1,87.2,5.2,3.6,2.1,0.2,1.6,40.6,77,40,135,66495,125,52.3,374968,164436,189891,358795,172131,183512,376482,195947,174675,366968,143791,205629,17548,243125,102269,132739,8117,128657,202217,694265,536105),"
207,Michigan 9th,MI-09,Democratic,Sandy,Levin,1982,1931,Man,White - Non-Hispanic,Jewish,No,51.5,43.7,57.2,41.9,58.1,40.1,57.9,37.4,49,51,47,51,60.4,36.1,64.5,35.5,82.1,11.5,1.8,2.8,0.3,1.5,30.3,191,30.4,265,56582,211,57.1,355751,183085,155597,349021,199625,146185,368821,214229,147770,344775,199661,128937,16177,225757,136342,81470,7945,208846,114760,683705,540635,,,"(207,'Michigan 9th','MI-09','Democratic','Sandy','Levin',1982,1931,'Man','White - Non-Hispanic','Jewish','No',51.5,43.7,57.2,41.9,58.1,40.1,57.9,37.4,49,51,47,51,60.4,36.1,64.5,35.5,82.1,11.5,1.8,2.8,0.3,1.5,30.3,191,30.4,265,56582,211,57.1,355751,183085,155597,349021,199625,146185,368821,214229,147770,344775,199661,128937,16177,225757,136342,81470,7945,208846,114760,683705,540635),"
208,Michigan 10th,MI-10,Republican,Paul,Mitchell,2016,1961,Man,White - Non-Hispanic,Christian - Protestant,No,31.6,63.8,43.7,55.3,48,50,32.3,63.1,43,57,45,53,29.4,68.7,30.2,69.8,92.5,2.9,2.1,1.2,0.2,1.1,23,330,22.9,393,60934,171,71.3,357785,113065,228171,339318,148429,187653,354087,170032,177205,340983,110112,215132,15739,228692,67143,157069,4480,97734,226075,696715,538470,,,"(208,'Michigan 10th','MI-10','Republican','Paul','Mitchell',2016,1961,'Man','White - Non-Hispanic','Christian - Protestant','No',31.6,63.8,43.7,55.3,48,50,32.3,63.1,43,57,45,53,29.4,68.7,30.2,69.8,92.5,2.9,2.1,1.2,0.2,1.1,23,330,22.9,393,60934,171,71.3,357785,113065,228171,339318,148429,187653,354087,170032,177205,340983,110112,215132,15739,228692,67143,157069,4480,97734,226075,696715,538470),"
209,Michigan 11th,MI-11,Republican,Dave,Trott,2014,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,45.3,49.7,46.9,52.3,50.1,48.2,40.2,52.9,47,53,47,51,40.5,55.9,46.6,53.4,85.6,5.4,2.2,5.3,0.2,1.3,46.6,37,44.3,96,79805,52,47.6,390926,177143,194245,380884,178768,199308,386552,193613,186390,379488,152461,200872,26155,251238,101681,140435,9122,158879,181788,673925,518725,,,"(209,'Michigan 11th','MI-11','Republican','Dave','Trott',2014,1960,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',45.3,49.7,46.9,52.3,50.1,48.2,40.2,52.9,47,53,47,51,40.5,55.9,46.6,53.4,85.6,5.4,2.2,5.3,0.2,1.3,46.6,37,44.3,96,79805,52,47.6,390926,177143,194245,380884,178768,199308,386552,193613,186390,379488,152461,200872,26155,251238,101681,140435,9122,158879,181788,673925,518725),"
210,Michigan 12th,MI-12,Democratic,Debbie,Dingell,2014,1953,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,60.8,34.5,66.2,32.8,66.9,31.4,64.3,29.3,61,39,61,37,65,31.3,70.1,29.9,80,10.3,4.3,3.1,0.3,2.1,34,141,34,203,55506,223,52.7,338523,205939,116741,328498,217492,107675,350474,234529,110055,328542,211378,96104,21060,206660,134346,64716,7598,216884,92472,667170,518100,,,"(210,'Michigan 12th','MI-12','Democratic','Debbie','Dingell',2014,1953,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',60.8,34.5,66.2,32.8,66.9,31.4,64.3,29.3,61,39,61,37,65,31.3,70.1,29.9,80,10.3,4.3,3.1,0.3,2.1,34,141,34,203,55506,223,52.7,338523,205939,116741,328498,217492,107675,350474,234529,110055,328542,211378,96104,21060,206660,134346,64716,7598,216884,92472,667170,518100),"
211,Michigan 13th,MI-13,Vacant (D),,,,,,,,,78.8,18.1,85.2,14.3,84.8,14.2,77.1,15.7,81,19,80,19,79.5,16.3,85.9,14.1,37.3,56.6,3.5,0.7,0.4,1.4,14.7,425,16.9,431,33995,433,30.8,265343,209105,48111,293164,249656,41881,331253,281005,46980,257797,198771,40541,18485,166947,132710,27234,7003,235336,38769,660370,491645,,,"(211,'Michigan 13th','MI-13','Vacant (D)','','',,,'','','','',78.8,18.1,85.2,14.3,84.8,14.2,77.1,15.7,81,19,80,19,79.5,16.3,85.9,14.1,37.3,56.6,3.5,0.7,0.4,1.4,14.7,425,16.9,431,33995,433,30.8,265343,209105,48111,293164,249656,41881,331253,281005,46980,257797,198771,40541,18485,166947,132710,27234,7003,235336,38769,660370,491645),"
212,Michigan 14th,MI-14,Democratic,Brenda,Lawrence,2014,1954,Woman,Black - African-American,Christian - Protestant,No,79.2,18.3,81,18.6,82.2,17.1,78.5,18.7,83,17,81,18,77.8,19.7,84,16,33.5,58.8,2.9,2.6,0.3,2,30.8,182,48.5,72,42695,393,17.2,318751,252387,58179,337491,273270,62794,357861,294273,61286,310974,244135,58103,8736,212468,165272,41801,5395,270450,51395,660515,503300,,,"(212,'Michigan 14th','MI-14','Democratic','Brenda','Lawrence',2014,1954,'Woman','Black - African-American','Christian - Protestant','No',79.2,18.3,81,18.6,82.2,17.1,78.5,18.7,83,17,81,18,77.8,19.7,84,16,33.5,58.8,2.9,2.6,0.3,2,30.8,182,48.5,72,42695,393,17.2,318751,252387,58179,337491,273270,62794,357861,294273,61286,310974,244135,58103,8736,212468,165272,41801,5395,270450,51395,660515,503300),"
213,Minnesota 1st,MN-01,Democratic,Tim,Walz,2006,1964,Man,White - Non-Hispanic,Christian - Lutheran,No,38.4,53.3,49.6,48.2,50.8,46.7,50.3,49.6,62,38,60,38,54.2,45.7,57.6,42.4,92.8,1.9,2.7,1.6,0.2,0.8,28,235,29,282,60424,179,65.8,340831,130831,181647,343764,170377,165720,348046,176959,162554,335877,169074,166526,277,226695,122851,103536,308,193211,142164,644245,492515,,,"(213,'Minnesota 1st','MN-01','Democratic','Tim','Walz',2006,1964,'Man','White - Non-Hispanic','Christian - Lutheran','No',38.4,53.3,49.6,48.2,50.8,46.7,50.3,49.6,62,38,60,38,54.2,45.7,57.6,42.4,92.8,1.9,2.7,1.6,0.2,0.8,28,235,29,282,60424,179,65.8,340831,130831,181647,343764,170377,165720,348046,176959,162554,335877,169074,166526,277,226695,122851,103536,308,193211,142164,644245,492515),"
214,Minnesota 2nd,MN-02,Republican,Jason,Lewis,2016,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,45.3,46.5,49.1,49,50.5,47.6,45.2,47,47,51,45,49,38.9,56,45.9,54.1,88.7,3.3,2.8,3.5,0.4,1.3,38.5,92,40,135,80128,51,53.2,377887,171287,175807,376586,184802,184576,367039,185192,174635,370514,167315,173970,29229,245848,95565,137778,12505,164338,193587,662655,490085,,,"(214,'Minnesota 2nd','MN-02','Republican','Jason','Lewis',2016,1955,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',45.3,46.5,49.1,49,50.5,47.6,45.2,47,47,51,45,49,38.9,56,45.9,54.1,88.7,3.3,2.8,3.5,0.4,1.3,38.5,92,40,135,80128,51,53.2,377887,171287,175807,376586,184802,184576,367039,185192,174635,370514,167315,173970,29229,245848,95565,137778,12505,164338,193587,662655,490085),"
215,Minnesota 3rd,MN-03,Republican,Erik,Paulsen,2008,1965,Man,White - Non-Hispanic,Christian - Lutheran,No,50.8,41.4,49.6,48.8,51,47.4,43,56.7,45,54,44,51,37.8,62.1,41.8,58.2,86.8,4.9,1.9,4.8,0.2,1.3,49,28,51.1,56,84689,41,42.4,397008,201833,164259,401332,199093,195802,391314,199740,185406,393464,169243,223077,1144,269585,101846,167515,224,159937,222335,659750,496315,,,"(215,'Minnesota 3rd','MN-03','Republican','Erik','Paulsen',2008,1965,'Man','White - Non-Hispanic','Christian - Lutheran','No',50.8,41.4,49.6,48.8,51,47.4,43,56.7,45,54,44,51,37.8,62.1,41.8,58.2,86.8,4.9,1.9,4.8,0.2,1.3,49,28,51.1,56,84689,41,42.4,397008,201833,164259,401332,199093,195802,391314,199740,185406,393464,169243,223077,1144,269585,101846,167515,224,159937,222335,659750,496315),"
216,Minnesota 4th,MN-04,Democratic,Betty,McCollum,2000,1954,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,61.5,30.6,62.5,35.5,62.6,35.5,57.8,34.4,48,51,46,50,61.2,32.9,66.4,33.6,78.6,7.6,3.7,7.6,0.5,2,42.2,62,47.9,78,66175,128,40.9,363650,223803,111163,370514,231511,131521,367119,229802,130366,351944,203299,121032,27613,241637,147857,79492,14288,216685,109659,648390,491460,,,"(216,'Minnesota 4th','MN-04','Democratic','Betty','McCollum',2000,1954,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',61.5,30.6,62.5,35.5,62.6,35.5,57.8,34.4,48,51,46,50,61.2,32.9,66.4,33.6,78.6,7.6,3.7,7.6,0.5,2,42.2,62,47.9,78,66175,128,40.9,363650,223803,111163,370514,231511,131521,367119,229802,130366,351944,203299,121032,27613,241637,147857,79492,14288,216685,109659,648390,491460),"
217,Minnesota 5th,MN-05,Democratic,Keith,Ellison,2006,1963,Man,Black - African-American,Muslim - Sunni,No,73.7,18.5,73.5,24,73.4,24.5,69.1,22.3,62,37,57,37,70.8,24,74.7,25.3,75.5,13.3,3.3,4.1,1,2.7,44.5,47,53.1,44,59115,189,35.4,370869,273402,68535,373638,274635,89643,367392,269829,90035,361882,249964,80660,31258,236009,167079,56577,12353,262102,88753,636825,497815,,,"(217,'Minnesota 5th','MN-05','Democratic','Keith','Ellison',2006,1963,'Man','Black - African-American','Muslim - Sunni','No',73.7,18.5,73.5,24,73.4,24.5,69.1,22.3,62,37,57,37,70.8,24,74.7,25.3,75.5,13.3,3.3,4.1,1,2.7,44.5,47,53.1,44,59115,189,35.4,370869,273402,68535,373638,274635,89643,367392,269829,90035,361882,249964,80660,31258,236009,167079,56577,12353,262102,88753,636825,497815),"
218,Minnesota 6th,MN-06,Republican,Tom,Emmer,2014,1961,Man,White - Non-Hispanic,Christian - Roman Catholic,No,33.2,58.9,41.5,56.5,43.2,54.7,34.3,65.6,71,28,63,29,38.4,56.3,49.4,50.6,93.6,1.6,1.5,1.8,0.4,1.1,29.5,212,29.7,273,77049,60,65.8,370947,123329,218546,364072,151238,205652,356012,153766,194584,358924,123008,235380,536,236846,90926,133328,12592,174944,179240,674150,498205,,,"(218,'Minnesota 6th','MN-06','Republican','Tom','Emmer',2014,1961,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',33.2,58.9,41.5,56.5,43.2,54.7,34.3,65.6,71,28,63,29,38.4,56.3,49.4,50.6,93.6,1.6,1.5,1.8,0.4,1.1,29.5,212,29.7,273,77049,60,65.8,370947,123329,218546,364072,151238,205652,356012,153766,194584,358924,123008,235380,536,236846,90926,133328,12592,174944,179240,674150,498205),"
219,Minnesota 7th,MN-07,Democratic,Collin,Peterson,1990,1944,Man,White - Non-Hispanic,Christian - Lutheran,No,31,61.8,44.1,53.9,47.1,50.4,52.5,47.4,42,57,42,52,54.2,45.7,63.4,36.6,93.4,0.6,2.2,0.5,2.3,1,21.8,354,22.5,396,52620,256,72.4,337005,104566,208215,334777,147750,180334,344442,162296,173440,330848,173589,156952,307,240835,130546,109955,334,197791,114151,650900,497310,,,"(219,'Minnesota 7th','MN-07','Democratic','Collin','Peterson',1990,1944,'Man','White - Non-Hispanic','Christian - Lutheran','No',31,61.8,44.1,53.9,47.1,50.4,52.5,47.4,42,57,42,52,54.2,45.7,63.4,36.6,93.4,0.6,2.2,0.5,2.3,1,21.8,354,22.5,396,52620,256,72.4,337005,104566,208215,334777,147750,180334,344442,162296,173440,330848,173589,156952,307,240835,130546,109955,334,197791,114151,650900,497310),"
220,Minnesota 8th,MN-08,Democratic,Rick,Nolan,2012,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,38.6,54.2,51.7,46.2,53.1,44.5,50.2,49.6,43,55,40,54,48.5,47.1,54.5,45.5,94,0.9,1.1,0.5,2.2,1.3,23,330,23.5,383,53676,246,71.9,359353,138665,194779,361237,186761,166977,369006,195770,164390,356979,179098,177089,792,266083,129090,125358,11635,191976,160520,657900,516760,,,"(220,'Minnesota 8th','MN-08','Democratic','Rick','Nolan',2012,1943,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',38.6,54.2,51.7,46.2,53.1,44.5,50.2,49.6,43,55,40,54,48.5,47.1,54.5,45.5,94,0.9,1.1,0.5,2.2,1.3,23,330,23.5,383,53676,246,71.9,359353,138665,194779,361237,186761,166977,369006,195770,164390,356979,179098,177089,792,266083,129090,125358,11635,191976,160520,657900,516760),"
221,Mississippi 1st,MS-01,Republican,Trent,Kelly,2015,1966,Man,White - Non-Hispanic,Christian - Methodist,No,32.4,65.4,37,61.9,36.6,62.4,27.9,68.7,36,64,39,59,28.9,67.9,37.9,62.1,70.9,26.5,1.5,0.5,0.1,0.5,20.7,375,22.7,395,43194,389,54.8,310622,100770,203144,319986,118438,197984,324760,118704,202760,300423,83947,206455,10021,151111,43713,102622,4776,114076,186760,745525,561775,,,"(221,'Mississippi 1st','MS-01','Republican','Trent','Kelly',2015,1966,'Man','White - Non-Hispanic','Christian - Methodist','No',32.4,65.4,37,61.9,36.6,62.4,27.9,68.7,36,64,39,59,28.9,67.9,37.9,62.1,70.9,26.5,1.5,0.5,0.1,0.5,20.7,375,22.7,395,43194,389,54.8,310622,100770,203144,319986,118438,197984,324760,118704,202760,300423,83947,206455,10021,151111,43713,102622,4776,114076,186760,745525,561775),"
222,Mississippi 2nd,MS-02,Democratic,Bennie,Thompson,1993,1948,Man,Black - African-American,Christian - Methodist,No,63.6,35.1,66.4,33,64.2,35.2,67.1,29.1,41,59,42,55,67.7,0,68.4,31.6,34.2,63.5,1.2,0.4,0.3,0.4,19.3,397,25,350,34392,432,25.7,291427,185208,102392,330543,219416,109228,335114,215143,118035,286626,192343,83542,10741,148646,100688,0,47958,214978,99160,716340,532965,,,"(222,'Mississippi 2nd','MS-02','Democratic','Bennie','Thompson',1993,1948,'Man','Black - African-American','Christian - Methodist','No',63.6,35.1,66.4,33,64.2,35.2,67.1,29.1,41,59,42,55,67.7,0,68.4,31.6,34.2,63.5,1.2,0.4,0.3,0.4,19.3,397,25,350,34392,432,25.7,291427,185208,102392,330543,219416,109228,335114,215143,118035,286626,192343,83542,10741,148646,100688,0,47958,214978,99160,716340,532965),"
223,Mississippi 3rd,MS-03,Republican,Gregg,Harper,2008,1956,Man,White - Non-Hispanic,Christian - Southern Baptist,No,36.8,61.3,39.1,60,38.4,60.8,30.4,66.2,37,62,40,59,27.9,68.9,0,100,63,34,1.1,0.6,0.8,0.5,25.9,277,31.5,241,45115,370,43.1,323853,119108,198527,340146,132968,204180,341622,131202,207867,316445,96101,209490,10854,170946,47744,117771,5431,0,234717,737350,558330,,,"(223,'Mississippi 3rd','MS-03','Republican','Gregg','Harper',2008,1956,'Man','White - Non-Hispanic','Christian - Southern Baptist','No',36.8,61.3,39.1,60,38.4,60.8,30.4,66.2,37,62,40,59,27.9,68.9,0,100,63,34,1.1,0.6,0.8,0.5,25.9,277,31.5,241,45115,370,43.1,323853,119108,198527,340146,132968,204180,341622,131202,207867,316445,96101,209490,10854,170946,47744,117771,5431,0,234717,737350,558330),"
