id,district,code,party,first_name,last_name,first_elected,election_type,birth_year,gender,race_ethnicity,religion,lgbtq,seat_status2016,votepercent_president2016_democrat,votepercent_president2016_republican,2012votepercent_president_democrat,2012votepercent_president_republican,2008votepercent_president_democrat,2008votepercent_president_republican,rvotepercent_house_democrat,rvotepercent_house_republican,2014votepercent_house_democrat,2014votepercent_house_republican,2012two_party_dem,2012two_party_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,census_population2010_adult_white,census_population2010_adult_black,census_population2010_adult_latino,census_population2010_adult_asianpacificislander,census_population2010_adult_native,census_population2010_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,sort,tvotetotal_president,qvote_president_democrat,qvote_president_republican,2012votetotal_president,2012vote_pesident_democrat,2012vote_president_republican,2008votetotal_president,2008vote_president_democrat,2008vote_president_republican,2016votetotal_house,2016vote_house_democrat,2016vote_house_republican,2016vote_house_other,2014vote_total_house,2014vote_house_democrat,2014vote_house_republican,2014vote_house_other,2012house2_party_dem,2012house2_party_rep,acs_population_total,acs_population_white,acs_population_black,acs_population_latino,acs_population_asianpacificislander,acs_population_nativeamerican,acs_population_other,acs_votingagepopulation_total,acs_votingagepopulation_white,acs_votingagepopulation_black,acs_votingagepopulation_latino,acs_votingagepopulation_asianpacificislander,acs_votingagepopulation_nativeamerican,acs_votingagepopulation_other,census_totalpopulation,census_totalpopulation_white,census_totalpopulation_black,census_totalpopulation_latino,census_totalpopulation_asianpacificislander,census_totalpopulation_nativeamerican,census_totalpopulation_other,census_votingagepopulation_total,census_votingagepopulation_white,census_votingagepopulation_black,census_votingagepopulation_latino,census_votingagepopulation_asianpacificislander,census_votingagepopulation_nativeamerican,census_votingagepopulation_other
211,Michigan 13th,MI-13,Vacant (D),,,,Normal,,,,,,Re-elected,78.8,18.1,85.2,14.3,84.8,14.2,77.1,15.7,79.5,16.3,85.9,14.1,37.3,56.6,3.5,0.7,0.4,1.4,37.4,53.8,5.6,1.2,0.3,1.7 ,14.7 ,425 ,16.9 ,431 ,33995,433,30.8,211,265343,209105,48111,293164,249656,41881,331253,281005,46980,257797,198771,40541,18485,166947,132710,27234,7003,235336,38769,660370,225625,378045,36250,5090,2325,13025,491645,183165,278425,17435,3680,1925,7015,706462,246159,386239,48016,7611,2274,16163,523898,195685,281864,29348,6159,1829,9013
212,Michigan 14th,MI-14,Democratic,Brenda,Lawrence,2014,Normal,1954,Woman,Black - African-American,Christian - Protestant,No,Re-elected,79.2,18.3,81.0,18.6,82.2,17.1,78.5,18.7,77.8,19.7,84.0,16.0,33.5,58.8,2.9,2.6,0.3,2.0,33.6,57.3,3.5,3.7,0.2,1.7 ,30.8 ,182 ,48.5 ,72 ,42695,393,17.2,212,318751,252387,58179,337491,273270,62794,357861,294273,61286,310974,244135,58103,8736,212468,165272,41801,5395,270450,51395,660515,207760,390840,25415,18785,1565,16150,503300,168670,295925,14650,12930,1265,9860,705968,219139,413655,28637,27415,1664,15458,528390,177587,303017,18236,19387,1232,8931
213,Minnesota 1st,MN-01,Democratic,Tim,Walz,2006,Normal,1964,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,38.4,53.3,49.6,48.2,50.8,46.7,50.3,49.6,54.2,45.7,57.6,42.4,92.8,1.9,2.7,1.6,0.2,0.8,90.9,1.9,4.2,2.1,0.2,0.7 ,28.0 ,235 ,29.0 ,282 ,60424,179,65.8,213,340831,130831,181647,343764,170377,165720,348046,176959,162554,335877,169074,166526,277,226695,122851,103536,308,193211,142164,644245,577700,15105,29120,11785,1610,8930,492515,456850,9405,13520,7825,1220,3705,662237,585535,15273,36604,14946,1566,8313,505339,459195,9668,21158,10749,1217,3352
214,Minnesota 2nd,MN-02,Republican,Jason,Lewis,2016,Normal,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,45.3,46.5,49.1,49.0,50.5,47.6,45.2,47.0,38.9,56.0,45.9,54.1,88.7,3.3,2.8,3.5,0.4,1.3,87.1,3.0,4.3,4.0,0.4,1.1 ,38.5 ,92 ,40.0 ,135 ,80128,51,53.2,214,377887,171287,175807,376586,184802,184576,367039,185192,174635,370514,167315,173970,29229,245848,95565,137778,12505,164338,193587,662655,564195,24950,28665,25025,2615,17200,490085,434795,16160,13905,16935,1830,6460,662780,558248,23765,35469,28060,3022,14216,485541,423136,14628,20640,19489,2118,5530
215,Minnesota 3rd,MN-03,Republican,Erik,Paulsen,2008,Normal,1965,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,50.8,41.4,49.6,48.8,51.0,47.4,43.0,56.7,37.8,62.1,41.8,58.2,86.8,4.9,1.9,4.8,0.2,1.3,84.3,5.4,3.0,5.8,0.3,1.2 ,49.0 ,28 ,51.1 ,56 ,84689,41,42.4,215,397008,201833,164259,401332,199093,195802,391314,199740,185406,393464,169243,223077,1144,269585,101846,167515,224,159937,222335,659750,543385,40945,21380,36480,1620,15945,496315,430875,24350,9480,23955,1205,6450,663654,537250,42984,25281,41306,1961,14872,496951,418915,26887,14940,28794,1432,5983
216,Minnesota 4th,MN-04,Democratic,Betty,McCollum,2000,Normal,1954,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,61.5,30.6,62.5,35.5,62.6,35.5,57.8,34.4,61.2,32.9,66.4,33.6,78.6,7.6,3.7,7.6,0.5,2.0,76.3,7.9,5.1,8.5,0.6,1.6 ,42.2 ,62 ,47.9 ,78 ,66175,128,40.9,216,363650,223803,111163,370514,231511,131521,367119,229802,130366,351944,203299,121032,27613,241637,147857,79492,14288,216685,109659,648390,469515,58970,34515,60470,3105,21815,491460,386070,37525,18180,37510,2375,9800,664041,471349,61120,41722,68289,3812,17749,504063,384846,39851,25476,43060,2875,7955
217,Minnesota 5th,MN-05,Democratic,Keith,Ellison,2006,Normal,1963,Man,Black - African-American,Muslim - Sunni,No,Re-elected,73.7,18.5,73.5,24.0,73.4,24.5,69.1,22.3,70.8,24.0,74.7,25.3,75.5,13.3,3.3,4.1,1.0,2.7,71.0,12.9,7.5,5.3,1.1,2.2 ,44.5 ,47 ,53.1 ,44 ,59115,189,35.4,217,370869,273402,68535,373638,274635,89643,367392,269829,90035,361882,249964,80660,31258,236009,167079,56577,12353,262102,88753,636825,436690,100805,38295,29270,6245,25525,497815,376065,66215,16640,20615,4845,13430,662883,430805,101629,61998,37615,7978,22858,523712,371608,67730,39067,27898,5729,11680
218,Minnesota 6th,MN-06,Republican,Tom,Emmer,2014,Normal,1961,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,33.2,58.9,41.5,56.5,43.2,54.7,34.3,65.6,38.4,56.3,49.4,50.6,93.6,1.6,1.5,1.8,0.4,1.1,92.9,1.8,1.8,2.2,0.4,0.9 ,29.5 ,212 ,29.7 ,273 ,77049,60,65.8,218,370947,123329,218546,364072,151238,205652,356012,153766,194584,358924,123008,235380,536,236846,90926,133328,12592,174944,179240,674150,617435,13725,14285,13075,2695,12935,498205,466320,8030,7475,8840,1960,5585,661656,604208,13764,15319,15388,2510,10467,482759,448717,8713,8650,10644,1896,4139
219,Minnesota 7th,MN-07,Democratic,Collin,Peterson,1990,Normal,1944,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,31.0,61.8,44.1,53.9,47.1,50.4,52.5,47.4,54.2,45.7,63.4,36.6,93.4,0.6,2.2,0.5,2.3,1.0,92.9,0.6,2.7,0.7,2.2,0.8 ,21.8 ,354 ,22.5 ,396 ,52620,256,72.4,219,337005,104566,208215,334777,147750,180334,344442,162296,173440,330848,173589,156952,307,240835,130546,109955,334,197791,114151,650900,591260,4970,22725,3960,17620,10370,497310,464640,3135,10830,2545,11360,4805,663326,601672,4850,25270,5295,17151,9088,505477,469715,2979,13882,3773,10971,4157
220,Minnesota 8th,MN-08,Democratic,Rick,Nolan,2012,Incontinous 1974-1980,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,38.6,54.2,51.7,46.2,53.1,44.5,50.2,49.6,48.5,47.1,54.5,45.5,94.0,0.9,1.1,0.5,2.2,1.3,94.3,0.8,1.0,0.6,2.3,1.1 ,23.0 ,330 ,23.5 ,383 ,53676,246,71.9,220,359353,138665,194779,361237,186761,166977,369006,195770,164390,356979,179098,177089,792,266083,129090,125358,11635,191976,160520,657900,608470,6225,9700,3710,16615,13180,516760,485860,4475,5700,2640,11230,6855,663348,616075,5756,8595,3957,17421,11544,516020,486512,4232,5023,2958,11772,5523
221,Mississippi 1st,MS-01,Republican,Trent,Kelly,2015,Special,1966,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,32.4,65.4,37.0,61.9,36.6,62.4,27.9,68.7,28.9,67.9,37.9,62.1,70.9,26.5,1.5,0.5,0.1,0.5,71.5,24.5,2.5,0.7,0.2,0.6 ,20.7 ,375 ,22.7 ,395 ,43194,389,54.8,221,310622,100770,203144,319986,118438,197984,324760,118704,202760,300423,83947,206455,10021,151111,43713,102622,4776,114076,186760,745525,510350,205140,16830,3925,1035,8245,561775,398445,148645,8150,2705,785,3045,741837,510852,194586,22647,4845,1446,7461,553526,395515,135737,14109,3663,1114,3388
222,Mississippi 2nd,MS-02,Democratic,Bennie,Thompson,1993,Special,1948,Man,Black - African-American,Christian - Methodist,No,Re-elected,63.6,35.1,66.4,33.0,64.2,35.2,67.1,29.1,67.7,0,68.4,31.6,34.2,63.5,1.2,0.4,0.3,0.4,35.7,61.1,1.8,0.5,0.3,0.5 ,19.3 ,397 ,25.0 ,350 ,34392,432,25.7,222,291427,185208,102392,330543,219416,109228,335114,215143,118035,286626,192343,83542,10741,148646,100688,0,47958,214978,99160,716340,224055,473060,10665,2685,2025,3845,532965,182495,338620,6260,1970,1455,2155,741862,239425,477582,13682,3764,2420,4989,543684,194102,332383,9832,2961,1681,2725
223,Mississippi 3rd,MS-03,Republican,Gregg,Harper,2008,Normal,1956,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,36.8,61.3,39.1,60.0,38.4,60.8,30.4,66.2,27.9,68.9,0,100,63.0,34.0,1.1,0.6,0.8,0.5,63.3,32.3,2.2,0.9,0.8,0.6 ,25.9 ,277 ,31.5 ,241 ,45115,370,43.1,223,323853,119108,198527,340146,132968,204180,341622,131202,207867,316445,96101,209490,10854,170946,47744,117771,5431,0,234717,737350,446515,262285,11395,4640,6910,5600,558330,351880,189880,6265,3235,4415,2660,741822,449767,254546,17169,6799,7404,6137,557605,352737,179916,12107,5080,4688,3077
224,Mississippi 4th,MS-04,Republican,Steven,Palazzo,2010,Normal,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,28.2,69.4,31.2,67.6,31.1,67.9,27.8,65.0,24.3,69.9,31.0,69.0,73.0,22.3,2.3,1.1,0.3,1.0,72.9,20.9,3.4,1.5,0.4,1.0 ,21.1 ,365 ,23.5 ,383 ,45192,368,55.8,224,283455,80045,196652,294909,92127,199354,288369,89613,195935,278779,77505,181323,19951,155576,37869,108776,8931,82344,182998,747545,525955,176200,22880,8100,2145,12270,564700,412245,126105,13025,5960,1825,5540,741776,522243,166798,27983,11017,2575,11160,556927,405892,116214,18929,8467,1957,5468
225,Missouri 1st,MO-01,Democratic,Lacy,Clay,2000,Normal,1956,Man,Black - African-American,Christian - Roman Catholic,No,Re-elected,77.0,18.8,79.9,18.9,80.3,18.6,75.5,20.0,73.0,21.6,81.5,18.5,46.8,47.8,1.8,1.7,0.2,1.8,47.3,45.5,2.7,2.8,0.2,1.5 ,31.8 ,169 ,43.4 ,104 ,45172,369,26.4,225,319606,246107,60136,350829,280194,66286,384801,309062,71725,314024,236993,62714,14317,163494,119315,35273,8906,267927,60832,714610,302285,362825,17240,11995,1295,18970,552275,258290,263870,9900,9425,1020,9770,748540,319451,368775,22783,19440,1534,16557,575685,272167,261898,15490,16129,1215,8786
226,Missouri 2nd,MO-02,Republican,Ann,Wagner,2012,Normal,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.3,52.6,41.4,57.1,46.4,52.6,37.7,58.5,32.6,64.1,38.2,61.8,91.1,3.6,1.6,2.6,0.1,0.9,90.2,3.1,2.0,3.7,0.1,0.9 ,49.2 ,27 ,49.0 ,68 ,79724,53,46.4,226,420072,177647,220842,411992,170727,235428,429449,199128,225911,413296,155689,241954,15653,231117,75384,148191,7542,146272,236971,737410,659515,27325,15880,22525,995,11165,571815,521135,20625,9115,14910,795,5230,748401,664294,24801,17629,29374,1117,11186,572513,516348,17774,11289,21201,838,5063
227,Missouri 3rd,MO-03,Republican,Blaine,Luetkemeyer,2008,Normal,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,28.1,67.1,36.1,62.0,42.8,55.8,27.9,67.8,27.1,68.3,34.1,65.9,93.5,3.1,1.5,0.6,0.3,1.1,93.2,3.1,1.7,0.9,0.3,0.9 ,26.4 ,268 ,26.3 ,328 ,61929,157,68.9,227,378846,106365,254183,353496,127443,219156,370056,158404,206620,368333,102891,249865,15577,191620,52021,130940,8659,111189,214843,759400,699890,24440,15425,4885,2165,12590,576785,539230,17805,8490,3340,1745,6185,748398,688887,23839,15989,6734,2133,10816,563086,524617,17237,9743,4874,1647,4968
228,Missouri 4th,MO-04,Republican,Vicky,Hartzler,2010,Normal,1960,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,29.3,65.3,36.4,61.2,41.9,56.5,27.8,67.8,26.4,68.1,37.0,63.0,90.0,4.6,2.4,0.8,0.4,1.8,89.7,4.3,2.6,1.5,0.5,1.4 ,23.9 ,311 ,23.8 ,376 ,48065,339,68.5,228,340290,99844,222162,329292,119908,201672,350083,146703,197817,332234,92510,225348,14376,176286,46464,120014,9808,113120,192237,746830,660190,33545,23790,6115,2955,20240,575725,518180,26580,13925,4555,2395,10100,749315,661410,33714,24278,10807,3622,15484,573748,514675,24803,14999,8562,2782,7927
229,Missouri 5th,MO-05,Democratic,Emanuel,Cleaver,2004,Normal,1944,Man,Black - African-American,Christian - Methodist,No,Re-elected,54.1,40.6,58.9,39.4,62.0,36.8,58.8,38.2,51.6,45.0,62.1,37.9,70.7,21.0,4.9,1.4,0.4,1.6,69.0,20.2,6.8,1.8,0.4,1.6 ,28.2 ,230 ,32.5 ,228 ,48693,329,47.6,229,328803,177772,133458,338346,199298,133185,370231,229496,136071,324270,190766,123771,9733,153635,79256,69071,5308,200290,122149,733140,487125,163090,51045,10620,3060,18205,558455,394885,117010,27595,7610,2505,8855,748737,488072,162753,62467,13701,3099,18645,569063,392820,115228,38874,10423,2444,9274
230,Missouri 6th,MO-06,Republican,Sam,Graves,2000,Normal,1963,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,31.7,63.1,37.9,60.0,43.1,55.3,28.4,68.0,29.5,66.7,33.3,66.7,91.0,3.8,2.7,0.9,0.3,1.3,91.2,3.6,2.7,1.2,0.3,1.0 ,28.6 ,226 ,29.0 ,282 ,58532,193,64.5,230,354014,112056,223375,341953,129610,205283,359371,154736,198560,350444,99692,238388,12364,186970,55157,124616,7197,108503,216906,749380,669170,29110,26165,6860,2395,15680,568245,516895,21530,15430,4930,1965,7495,748760,671952,28069,24951,8941,2523,12324,564869,515112,20613,15126,6509,1945,5564
231,Missouri 7th,MO-07,Republican,Billy,Long,2010,Normal,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,24.7,70.4,30.3,67.6,35.3,63.1,27.4,67.5,28.8,63.5,32.6,67.4,92.5,1.7,2.4,0.9,0.9,1.7,91.5,1.5,3.3,1.2,0.9,1.5 ,23.2 ,327 ,23.8 ,376 ,44619,378,70.5,231,342069,84419,240690,325978,98916,220216,342504,121064,216172,338607,92756,228692,17159,163957,47282,104054,12621,98498,203565,749240,676950,13425,27875,7385,6300,17305,574405,531395,9525,13920,4940,5065,9565,748406,671805,11760,32310,9506,6987,16038,571140,522790,8487,19015,6980,5101,8767
232,Missouri 8th,MO-08,Republican,Jason,Smith,2013,Special,1980,Man,White - Non-Hispanic,Christian - Pentecostal,No,Re-elected,21.0,75.4,32.0,65.9,38.3,60.0,22.7,74.4,24.3,66.7,25.4,74.6,92.6,4.3,1.2,0.2,0.5,1.2,92.6,4.1,1.3,0.6,0.4,1.0 ,15.0 ,424 ,15.3 ,434 ,40639,414,78.4,232,317749,66858,239666,305437,97700,201214,321648,123319,192937,308871,70009,229792,9070,159224,38721,106124,14379,73755,216083,740015,676385,34210,12360,1950,3325,11780,570175,528105,24450,6960,1335,2595,6735,748370,684877,33438,12063,4481,3047,10464,573387,530763,23571,7276,3580,2425,5772
233,Montana At-Large,MT-AL,Republican,Greg,Gianforte,2017,Special,1961,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,35.9,56.5,41.7,55.4,47.2,49.6,40.5,56.2,40.4,55.4,44.5,55.5,89.5,0.4,2.6,0.6,5.4,1.7,90.0,0.3,2.3,0.7,5.1,1.6 ,31.0 ,177 ,31.9 ,238 ,50027,311,60.9,233,494525,177709,279240,483932,201839,267928,491767,232159,243882,507831,205919,285358,16554,367963,148690,203871,15402,204939,255468,1013805,884100,3570,32870,5930,64480,22860,789500,706685,2870,20140,4480,42260,13065,989415,868628,3743,28565,6747,59902,21830,765852,689188,2617,17420,5302,38949,12376
234,Nebraska 1st,NE-01,Republican,Jeff,Fortenberry,2004,Normal,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,36.2,57.5,40.8,57.5,44.0,54.1,30.5,69.5,31.2,68.8,31.7,68.3,89.7,2.5,4.2,1.5,0.9,1.2,87.9,2.3,5.8,2.1,0.9,1.0 ,32.5 ,163 ,33.9 ,206 ,58537,192,59.3,234,276046,100030,158629,264718,107994,152122,267008,117514,144470,273238,83467,189771,0,179057,55838,123219,0,81206,174889,605570,521060,16295,39955,9330,6475,12450,455120,408405,11415,19340,6645,4070,5245,608065,516832,14907,45360,12787,6909,11270,458727,403070,10348,26641,9555,4348,4765
235,Nebraska 2nd,NE-02,Republican,Don,Bacon,2016,Normal,1963,Man,White - Non-Hispanic,Christian - Protestant,No,Defeated,46.0,48.2,45.7,52.8,49.8,48.6,47.7,48.9,49.0,45.7,49.2,50.8,82.4,9.1,5.1,1.5,0.4,1.4,78.3,9.2,8.2,2.5,0.4,1.3 ,39.2 ,85 ,43.7 ,100 ,62621,150,46.4,235,285211,131102,137506,266720,121971,140880,267039,133016,129890,288308,137602,141066,9640,171050,83872,78157,9021,129767,133964,607555,471050,59225,49665,10665,2180,14765,442145,364535,40265,22650,6825,1650,6215,609223,454079,61305,61976,15680,2755,13428,447161,350324,41319,36613,11309,1943,5653
236,Nebraska 3rd,NE-03,Republican,Adrian,Smith,2006,Normal,1970,Man,White - Non-Hispanic,Christian - Evangelical Free Church,No,Re-elected,20.0,74.9,27.8,70.2,31.0,66.9,0,100,24.6,75.4,25.8,74.2,91.2,0.8,6.0,0.5,0.6,0.9,89.7,0.7,7.6,0.7,0.7,0.6 ,22.2 ,348 ,23.9 ,375 ,50985,289,69.4,236,266918,53362,199826,259224,72116,182062,266981,82789,178619,226720,0,226720,0,184964,45524,139440,0,65266,187423,586185,514285,4870,51985,3140,4410,7495,443750,404675,3360,26475,2350,2865,4025,609053,528842,4747,60069,4418,5133,5844,461232,413562,3314,34967,3239,3346,2804
237,Nevada 1st,NV-01,Democratic,Dina,Titus,2012,Incontinuous 2008-2010,1950,Woman,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,61.6,32.6,65.6,32.4,64.5,33.0,61.9,28.8,56.8,37.9,66.8,33.2,48.0,12.5,27.3,9.1,0.5,2.5,42.3,9.5,36.5,9.0,0.5,2.2 ,15.2 ,422 ,19.6 ,421 ,38000,423,38.5,237,196840,121321,64233,187686,123205,60813,189190,122041,62527,188352,116537,54174,17641,80299,45643,30413,4243,113967,56521,554245,218080,67610,205285,43765,2380,17125,404480,194250,50610,110520,36815,1985,10295,674442,246051,63635,287756,55478,3099,18423,509371,215645,48217,185912,46076,2538,10983
238,Nevada 2nd,NV-02,Republican,Mark,Amodei,2011,Special,1958,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,39.7,52.0,44.8,52.9,49.4,48.2,36.9,58.3,27.9,65.7,38.6,61.4,77.3,1.9,13.0,3.8,2.1,1.9,73.8,1.7,16.6,4.3,1.8,1.8 ,25.5 ,282 ,28.9 ,284 ,58214,194,54.9,238,326011,129318,169631,293476,131542,155187,285982,141357,137916,313336,115722,182676,14938,186210,52016,122402,11792,102019,162213,647720,465435,11775,115535,24035,13300,17640,494080,381985,9530,64210,18700,10265,9385,675971,469069,11684,138087,27912,12641,16578,515125,379952,8925,85495,22255,9378,9120
239,Nevada 3rd,NV-03,Democratic,Jacky,Rosen,2016,Normal,1957,Woman,White - Non-Hispanic,Jewish,No,Open - Ran for Senate and lost,46.5,47.5,49.5,48.7,53.5,44.6,47.2,46.0,36.1,60.8,46.0,54.0,64.3,6.7,13.1,12.4,0.4,3.0,64.4,5.9,13.5,13.1,0.4,2.7 ,31.5 ,172 ,32.9 ,226 ,68396,108,43.1,239,325602,151552,154815,283656,140501,138238,262257,140378,116908,310963,146869,142926,21168,145719,52644,88528,4547,116823,137244,688880,414935,47975,108785,84220,2940,30025,528000,339700,35480,69385,65360,2310,15750,675469,412783,41181,105955,86223,2751,26576,521733,335885,30810,70493,68194,2170,14181
240,Nevada 4th,NV-04,Democratic,Ruben,Kihuen,2016,Normal,1980,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Defeated,49.5,44.6,54.4,43.7,56.4,41.4,48.5,44.5,45.8,48.5,54.3,45.7,56.9,15.3,18.1,5.9,0.9,2.9,54.7,13.2,23.0,6.0,0.8,2.3 ,20.4 ,380 ,24.6 ,362 ,55712,221,42.8,240,276932,137070,123380,250100,136124,109330,230420,129961,95477,265846,128985,118328,18533,130781,59844,63466,7471,120501,101261,656295,334075,100305,156730,35020,5785,24380,475725,270770,72710,85975,28285,4245,13735,674669,334178,91558,184703,36890,5045,22295,489314,267816,64558,112634,29330,3771,11205
241,New Hampshire 1st,NH-01,Democratic,Carol,Shea-Porter,2016,Normal,1952,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Defeated,46.6,48.2,50.2,48.6,52.8,46.4,45.8,44.4,48.1,51.7,52.0,48.0,94.4,0.9,2.2,1.3,0.1,1.1,93.7,1.0,2.2,1.9,0.2,1.0 ,37.2 ,105 ,37.4 ,167 ,71277,85,59.0,241,371973,173344,179259,356812,179148,173419,353603,186598,163977,353451,161828,157011,34612,242736,116769,125508,459,171650,158659,648965,603005,7380,18010,9590,670,10315,516980,487865,4835,11435,6550,515,5780,658233,607603,7643,18305,13357,1176,10149,514495,481892,5135,11377,9906,916,5269
242,New Hampshire 2nd,NH-02,Democratic,Annie,Kuster,2012,Normal,1956,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,48.6,46.2,54.2,44.5,56.0,43.1,49.8,45.4,54.9,44.9,52.5,47.5,94.4,0.9,2.2,1.3,0.2,1.1,93.5,0.8,2.2,2.2,0.2,1.1 ,35.9 ,122 ,35.6 ,186 ,70524,92,60.7,242,360294,175182,166531,351587,190413,156499,354008,198228,152557,350189,174386,158960,16843,238149,130679,106857,613,169275,152977,642445,597145,5635,18625,9865,1165,10010,510650,481895,4395,11060,6710,955,5635,658237,607447,5982,18399,15213,1517,9679,514741,481039,4301,11557,11180,1208,5456
243,New Jersey 1st,NJ-01,Democratic,Donald,Norcross,2014,Special,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,60.6,36.1,65.1,33.8,64.7,34.2,60.0,36.8,57.4,39.4,69.5,30.5,69.6,16.3,9.1,3.8,0.1,1.2,68.9,15.4,9.9,4.5,0.2,1.2 ,30.4 ,189 ,33.4 ,215 ,68208,110,46.3,243,329188,199386,118880,326134,212236,110377,340075,219874,116242,305473,183231,112388,9854,162492,93315,64073,5104,210470,92459,700485,461100,117650,80175,28095,545,12920,536535,373195,87445,48735,20135,450,6575,731714,480423,119179,84785,32984,1128,13215,556968,383899,85825,54875,24852,854,6663
244,New Jersey 2nd,NJ-02,Republican,Frank,LoBiondo,1994,Normal,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,46.0,50.6,53.5,45.4,53.2,45.5,37.2,59.2,37.3,61.5,41.1,58.9,73.4,12.1,9.9,3.0,0.2,1.3,71.0,11.8,12.2,3.5,0.3,1.2 ,25.8 ,279 ,30.3 ,268 ,60756,175,51.1,244,321004,147656,162486,311778,166906,141479,328805,174840,149736,297795,110838,176338,10619,177148,66026,108875,2247,116463,166679,691390,477810,85035,91025,22220,1455,13845,534145,392170,64500,53145,15985,1220,7135,732326,495309,90019,105485,26175,2089,13249,564025,400427,66558,68994,19629,1642,6775
245,New Jersey 3rd,NJ-03,Republican,Tom,MacArthur,2014,Normal,1960,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,45.2,51.4,51.8,47.2,51.1,47.7,38.9,59.3,44.4,54.0,45.5,54.5,80.2,9.9,5.4,2.8,0.1,1.6,80.0,9.8,5.6,3.2,0.1,1.4 ,33.9 ,146 ,34.2 ,199 ,74537,72,52.7,245,365240,165090,187703,345812,179028,163203,367978,188210,175525,328060,127526,194596,5938,186103,82537,100471,3095,145509,174257,715305,555750,73195,47685,21555,485,16640,562555,451240,55810,30460,15570,395,9075,733895,571319,74882,47920,24343,888,14543,571390,457098,55799,31913,18146,691,7743
246,New Jersey 4th,NJ-04,Republican,Chris,Smith,1980,Normal,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.0,55.8,44.7,54.2,45.3,53.6,33.5,63.7,31.1,68.0,35.6,64.4,83.6,6.2,5.9,3.4,0.0,0.9,80.5,6.2,8.5,3.8,0.1,0.9 ,39.6 ,83 ,42.1 ,120 ,78511,57,48.4,246,356583,146191,198859,332612,148622,180439,355041,160660,190307,332684,111532,211992,9160,174849,54415,118826,1608,108097,195186,699475,569605,41570,54255,24385,245,9405,521035,435725,32155,30540,17785,225,4605,732848,578886,46412,69676,27558,643,9673,547849,440802,34160,46528,20703,510,5146
247,New Jersey 5th,NJ-05,Democratic,Josh,Gottheimer,2016,Normal,1975,Man,White - Non-Hispanic,Jewish,No,Defeated,47.7,48.8,47.9,50.9,48.5,50.5,51.1,46.7,43.3,55.4,43.7,56.3,76.7,4.7,10.2,7.5,0.1,0.7,75.4,4.4,10.1,8.8,0.1,1.1 ,47.7 ,30 ,48.1 ,75 ,100219,14,39.7,247,364545,173963,178058,338580,162305,172486,363746,176486,183854,337701,172587,157690,7424,188921,81808,104678,2435,130102,167503,691180,513130,32360,80685,55790,1025,8190,530115,406480,24865,54325,39925,780,3735,734272,542510,32124,81017,66519,935,11167,559815,422171,24644,56682,49511,691,6116
248,New Jersey 6th,NJ-06,Democratic,Frank,Pallone,1988,Normal,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,56.2,40.6,61.4,37.4,58.4,40.5,63.7,34.9,59.9,38.9,64.2,35.8,60.1,10.4,14.4,14.0,0.1,0.9,55.2,9.0,17.6,16.5,0.1,1.7 ,38.9 ,88 ,37.3 ,168 ,79229,56,37.6,248,289648,162857,117679,265918,163391,99466,292048,170603,118187,263435,167895,91908,3632,120457,72190,46891,1376,152310,84831,638160,351395,65670,115970,95125,905,9090,484280,291045,50560,69945,67700,650,4385,733855,381645,68724,143987,123372,1046,15081,566466,312435,51098,99520,93297,633,9483
